Job Title,Role,Role Category,Functional Area,Industry,Job Experience Required,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7
9436,33,75,11,78,21,15435,12357,19378,17120,12715,11500,15167
17055,33,75,11,43,104,12813,12432,14203,18141,14925,12212,12212
7886,33,75,11,32,97,12999,20275,13861,19457,11646,19582,15756
9954,33,75,11,71,119,14203,12296,17113,12574,19684,14203,17120
9954,33,75,11,71,119,19918,16703,11619,19740,13486,16337,15335
9047,33,307,11,39,36,14203,13564,11857,12432,11634,16639,16639
17368,33,307,11,32,70,12321,13564,12574,17113,19684,19043,18273
7102,33,75,11,12,115,19116,11558,16337,13772,13772,13772,13772
10753,33,307,11,95,24,12092,14203,18970,11717,11619,16639,16639
2122,33,75,11,95,226,18372,17753,17121,14203,12507,14442,13716
14050,33,75,11,50,35,18372,17753,17121,17858,12507,14442,13716
5729,33,75,11,6,5,14203,14203,13564,16337,16337,16337,16337
9201,33,75,11,43,55,17040,16582,11736,14203,11913,18163,12999
1658,33,75,11,59,21,15569,11558,14576,14203,14203,17834,13564
16950,33,75,11,95,183,14631,17956,19347,18464,17887,14352,12526
16950,33,75,11,95,183,14997,13197,11543,14141,14278,14278,14278
8459,33,75,11,57,55,15335,18347,11718,11996,15569,11786,11786
5862,33,75,11,95,104,13732,12806,13123,15587,17284,17284,17284
303,33,75,11,44,104,13732,12806,13123,15587,17284,17284,17284
6414,33,113,11,57,153,15335,15884,11488,15422,17723,18353,14203
4043,33,75,11,6,11,15335,15884,11488,15422,17723,18353,14203
11968,33,75,11,43,55,15335,11736,12762,15920,17120,14576,16337
12688,33,75,11,43,183,15335,13732,11558,17745,11559,16337,14559
244,33,75,11,57,203,18564,11500,11767,15966,15920,15335,15335
13983,33,75,11,57,108,13564,13699,15413,14203,18163,11558,17040
3895,33,75,11,59,115,19684,14203,14277,15920,15920,15920,15920
3895,33,75,11,14,5,15413,18273,14925,12696,14442,15272,16337
9616,33,75,11,57,39,19684,15378,14203,13329,16337,14418,14418
11817,33,75,11,43,24,15335,12574,14567,19820,18163,16606,15378
2358,33,75,11,57,11,19304,13699,14203,13024,13564,14172,14334
10837,33,75,11,50,219,19304,13699,14203,15379,13564,14172,14334
11332,33,307,11,68,139,19304,13699,14203,12338,17768,14172,14334
6344,33,75,11,57,55,14203,13699,15167,11923,14442,18974,20189
3013,33,113,11,57,43,19684,18063,13329,11996,11996,11996,11996
2551,33,113,11,24,203,12696,17113,11759,15876,16326,15378,17598
464,33,307,11,57,39,12696,14203,11642,18969,13699,18529,19820
464,33,307,11,57,39,15979,14468,13566,18952,11577,11506,11506
16264,33,307,11,3,115,15979,14203,11642,18969,13699,18529,19820
16264,33,307,11,3,115,15979,14468,13566,18952,11577,11506,11506
12677,33,341,11,79,207,17041,12516,11829,17066,17066,17066,17066
11749,33,75,11,59,153,12999,14576,15517,14172,13431,17834,18041
10205,33,270,11,57,207,12574,15816,11996,15378,15090,15090,15090
9954,33,75,11,38,21,12574,15816,11996,15378,15090,15090,15090
15468,33,113,11,95,203,14326,11858,13877,17625,12999,16137,12756
6646,33,341,11,6,119,18040,18529,16153,11500,16639,15484,15422
6646,33,341,11,6,119,14277,11718,16606,11500,18377,16127,18934
6646,33,341,11,6,119,18610,11759,14442,12321,18377,19131,19131
7710,33,75,11,3,115,15413,15335,14567,18274,15697,17120,16962
5970,33,75,11,57,167,13732,16283,16473,12224,19820,19419,20281
11226,33,75,11,90,55,19684,16480,13260,11619,17668,17668,17668
10435,33,75,11,56,10,19684,16480,13260,11619,17668,17668,17668
13542,33,75,11,90,226,19684,16480,13260,11619,17668,17668,17668
302,33,298,11,6,108,19684,16480,13260,11619,17668,17668,17668
9436,33,307,11,38,66,19684,15413,11558,11634,17066,14203,16480
1938,33,113,11,70,21,15317,13357,12616,14203,17113,11500,11759
2078,33,307,11,84,70,15335,16473,16606,19820,15452,13564,14608
4813,33,75,11,89,122,13732,16259,14567,11634,18163,11619,18974
17086,33,341,11,64,5,13732,16259,14567,11634,18163,11619,18974
5835,33,113,11,95,0,15335,12444,19695,12999,18934,12197,12507
12044,33,75,11,43,104,11558,14717,14203,12078,15803,11619,12507
13195,33,75,11,59,153,11558,14717,14203,12078,15803,11619,12507
10979,33,75,11,24,0,11558,11634,19820,19375,19923,18857,11619
13542,33,75,11,59,119,15569,11558,14576,14203,14203,17834,13564
673,33,113,11,95,104,15569,11558,14576,14203,14203,17834,13564
5722,33,307,11,59,207,16639,12811,18952,13397,13564,15920,12542
13105,33,341,11,95,167,19684,13732,11634,12534,17367,19022,14995
13105,33,341,11,95,167,18163,13564,12432,14462,12585,12585,12585
2551,33,113,11,79,55,12526,15288,12092,14705,14705,14705,14705
12889,33,113,11,32,5,11558,14225,11632,12389,14203,19215,16427
15295,33,75,11,68,183,12999,19457,19050,11838,12746,16435,14442
8211,33,307,11,67,207,19684,11634,17365,11619,11619,11619,11619
9954,33,75,11,79,24,13732,13564,14203,14462,15920,15920,15920
3037,33,307,11,71,115,11558,11634,12363,14203,18329,11554,15849
17718,33,75,11,86,11,14203,17566,14203,17833,16703,16703,16703
16069,33,75,11,43,226,11558,18331,14203,14203,13564,13564,13564
5866,33,156,11,86,115,17656,14816,12609,14203,13260,12092,15569
2953,33,75,11,57,119,11923,11634,17055,12534,14203,14094,13564
2953,33,75,11,57,119,15499,15167,19967,17765,17765,17765,17765
15056,33,75,11,6,21,11500,18837,11678,11500,20200,11500,11665
13542,33,75,11,43,190,19684,15413,12444,15569,14203,16426,16045
7519,33,75,11,14,203,11558,16017,12432,17161,13732,15547,16642
